Tiktoker name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
ozikoy,6.9M,2.2M,186.4K,1.2K,1.3K
swaghoe666,1.4M,2.1M,306.5K,1.1K,501
robsonabreu,3.2M,1.4M,82K,8.3K,470
juliagisella,10.2M,784.4K,186.9K,3.1K,3.7K
andreslleal,2.8M,1.7M,91.6K,3.7K,2.9K
gabryellurlan,6.8M,1.4M,221.9K,1.2K,2.1K
kagramanana,6.2M,1.2M,184.1K,1K,3.5K
yizaroff,4M,1.4M,225.1K,2.6K,611
adamw,15.7M,1.8M,179.5K,1.1K,1.9K
xoteam,32.1M,2.1M,222.9K,1.6K,481
saydenseay,3.3M,938.9K,257.3K,1.6K,2.5K
justthenobodys,7.1M,1.4M,175.8K,2.2K,1.8K
snerixx,8M,1.9M,369.2K,1K,361
valenrewah,7.5M,2.4M,272.6K,929,605
cheekyboyos,10.9M,1.8M,252.8K,1.3K,867
cokodive,188.5K,871.1K,172.5K,2.8K,3.7K
_tusya_kiskis,6.7M,1.4M,161.2K,1.5K,2.8K
danaandthewolf,187.3K,2.5M,252.5K,824,712
pakoyaso_,9.5M,1.8M,216.1K,1.2K,1.4K
zhenyalavrik,364.5K,3.2M,69.4K,1.8K,2.6K
teukuryantr,3.1M,1.7M,236.8K,1.3K,1.1K
jamescharles,36.1M,1.7M,191.6K,2.2K,752
zhenyalavrik,364.5K,3.2M,69.4K,1.8K,2.6K
teukuryantr,3.1M,1.7M,236.8K,1.3K,1.1K
jamescharles,36.1M,1.7M,191.6K,2.2K,752
cardncyn,1.5M,2.5M,271.1K,791,623
mariahandbill,2.7M,217.8K,1.2K,462,
jamal.jamael,2.6M,1.4M,203.4K,2.4K,991
nastasyashinee,4.9M,2.5M,154.5K,1.6K,880
riska_nurwidia,2.6M,2.5M,276.8K,623,755
ermo1enko,1.7M,1.7M,326.3K,870,849
mackenzieziegler,22.1M,2.1M,325.5K,1K,380
yarenalaca,5.4M,1.6M,119.2K,4.6K,513
gabrielvalland,958.2K,1.1M,257.9K,1.7K,1.7K
judiitharias,3.1M,302K,763,249,
adamrayokay,6.8M,1.9M,217.6K,1.7K,629
ethob0t,534.2K,2.4M,203.1K,1.3K,668
soylapizito,13.3M,2.1M,277.2K,1.2K,442
fadeewa_makeup,760.2K,1.3M,113.2K,1.7K,4.6K
rosssmith,21.8M,1.4M,263.3K,814,1.7K
bentleybuilds,72K,3.1M,77.6K,826,3.1K
edwinmendozza,14.2M,1.8M,393.6K,1K,349
cocielo,4.3M,1.3M,204.6K,1.5K,2K
riqqo_,66K,2.9M,170.3K,1.5K,361
lgndfrvr,15.8M,1.9M,241.3K,670,1.3K
jajad5,630.8K,982.4K,263.8K,2.1K,1.5K
cocinaconcoqui,2M,1.4M,278.3K,628,1.7K
rucenuenda1,1.1M,1.6M,280.9K,1.5K,589
thaotaotau,5.1M,2.5M,267.9K,1.2K,237
brycehall,21.3M,2.4M,283.2K,901,476
just_dt,8.9M,1.1M,198.6K,1.8K,2.5K
seleterr,27.1K,1.5M,180.5K,807,2.5K
teamsport_philipp,23.2K,957.2K,140.4K,2.1K,4.6K
arananadam38,175.1K,2M,60K,967,6.6K
mngnzls,13M,2.6M,191.1K,1.5K,310
niico_pr,1.1M,1.4M,197.7K,1.9K,1.3K
keemokazi,26M,2.1M,256K,1.4K,293
vivi,10.3M,1.7M,224.7K,2K,412
german_crusader,99K,902.5K,149K,1.6K,5.1K
whitehernandez,112.6K,1.4M,229.7K,1.4K,1.4K
shyazryne,86.2K,2.9M,316K,595,373
rozhkova.olesya,850K,1.5M,197.2K,964,2.1K
mosqvin_,2.6M,1.9M,348.5K,714,637
sepultacion,6.4M,1.3M,301.4K,1.9K,404
kaansanity,4.9M,1.1M,86.4K,569,8.8K
dizzlipin,909.6K,1.9M,79.9K,5.5K,356
aldomirandar,8.4M,1.3M,212.7K,605,2.7K
nicolebernaal,4M,2.2M,351.3K,957,195
bellaretamosa,5.1M,2.5M,340.4K,901,145
tunico80,5.8M,1M,206.8K,2K,2.1K
armon.warren,1.2M,1.9M,300.8K,904,630
soanhvadiephihi,1.6M,2.6M,273.2K,720,530
