Tiktoker name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
craggygames,306.8K,7M,189.3K,726,10.9K
gritside,3.6M,3.5M,446.4K,1.5K,8.3K
charlieputh,16.1M,3.5M,509.1K,5.8K,2.6K
spencer_serafica,12.3M,4M,663.2K,4.1K,1.6K
mikaylahau,4.2M,3M,386.4K,9.9K,3.2K
kevinprieto077,1.8M,3.8M,589.3K,3.4K,3.1K
christianfabiannn,12M,4.8M,733.2K,3.7K,398
brotherofcolor,12.7M,5M,609.5K,3.6K,1.1K
gavrilinaa,16.3M,3.9M,522.2K,4K,3K
phun.anh,2.7M,6.8M,374.2K,3.8K,1.7K
tooturnttony,15.6M,5.4M,464.6K,2.8K,2.8K
baimwong,7.5M,5.1M,392.4K,3.7K,3.3K
maxtaylorlifts,7.6M,3M,529K,4.4K,4.5K
kimberly11sofia,1.9M,208K,27K,7.8K,
lourdasprec,8.7M,2.4M,592.1K,5.3K,4.3K
katiavlogss,13.8M,4.6M,638.2K,3.5K,1.1K
itslennnie,1.9M,1.9M,319.2K,2.4K,20K
couragejd,3.1M,3.4M,391.5K,2.9K,7.1K
karimmahmoudabdelaziz,3.4M,5.3M,375.6K,2.5K,4.1K
jbdjebb,1.1M,2.9M,448.6K,6.2K,3.8K
dailymug69,4.2M,4.1M,544.2K,5.6K,251
superfirsthero,1.6M,2.8M,526.1K,4.4K,4.5K
cookingwithlynja,9.9M,5.2M,649K,2.5K,1.4K
gordonramsayofficial,31.7M,5.7M,557.2K,3.2K,835
nabela,7.2M,5.4M,627.1K,2.6K,1.2K
alexwaarren,15.2M,4.6M,769K,1.3K,2.3K
ayesebastien,7.2M,3.1M,565.3K,2.8K,4.6K
jamie32bsh,7.1M,5.8M,313.6K,4.7K,2.2K
maxthemeatguy,3.8M,6.2M,681.9K,1.7K,1.2K
andy.and.michelle,3.7M,3.1M,438.1K,2.8K,6.1K
realmsp,349.1K,4.9M,771.9K,2K,1.1K
gameofthrones,647.3K,3M,359.5K,1.9K,9K
ameliadimz,1.3M,3.7M,529.8K,4.1K,1.8K
chris,7.2M,6.1M,712.1K,1.6K,1.1K
isaach.p,1.6M,2.4M,230K,11K,9.7K
billlnai,8.4M,3.1M,797.1K,3.2K,1.4K
samseats,8.7M,3.6M,618.5K,2.8K,2.2K
soysuco_ff,3.7M,3.4M,430.5K,6.6K,981
gaynadia,287.9K,2.2M,583.8K,4.4K,4.1K
thatlittlepuff,25M,5.1M,612.9K,1.4K,2.1K
lachama4_ff,2.9M,477K,7.3K,693,
envydo,198.7K,1.8M,476.1K,9.2K,3.3K
k1lauea,128.2K,1.8M,451.4K,9.1K,3.7K
noreportar08,265.3K,4M,104.9K,11.1K,12.9K
elrodcontreras,40.1M,3.3M,521K,4.8K,1K
k1lauea,128.2K,1.8M,451.4K,9.1K,3.7K
noreportar08,265.3K,4M,104.9K,11.1K,12.9K
elrodcontreras,40.1M,3.3M,521K,4.8K,1K
kpp2179393999,6.5M,345.5K,1.3K,3.2K,
elgato,3.2M,3.3M,454K,4K,2.7K
carolfermichh,6.2M,4.3M,664.8K,2.4K,1.1K
montpantoja,32.3M,3.5M,652.5K,3.2K,1.2K
mmmjoemele,21M,4.3M,608.4K,2.2K,1.5K
1xgoku,74.8K,1.9M,345.6K,2.5K,12.2K
anthonnyswagg3,8.5M,8.1M,469.6K,1.7K,797
bjjojo_,61.6K,2M,354.5K,6.2K,7.3K
uberkuloz,1M,5.2M,394.7K,2.1K,2.5K
nilskue,9.5M,2.6M,515.4K,5.2K,1.8K
mcsilsiloficial,5.8M,2.6M,201.7K,4.7K,13.7K
labrinth,924.9K,4.2M,416.9K,3.4K,1.9K
oilywhitehat,197.3K,5.5M,373.5K,3.1K,1.4K
jacksepticeye,4.2M,2.9M,512.7K,4.3K,1.9K
marisol.viola,1.1M,2.6M,504.8K,4.1K,3.1K
strangehumano,7.8M,3.2M,386.3K,4.5K,3K
playboyjuju,259.4K,3.3M,291.2K,5.5K,4.2K
itsjessibaby,5M,3.1M,738.5K,3.2K,835
bbykevv_,1.6M,3.2M,633.1K,2.1K,2.4K
nykolasteles,3.8M,2.7M,368.8K,5.8K,3.4K
morimura,6.4M,2.2M,483K,4.4K,4.1K
danisoomin,8.4M,3.4M,492.7K,4.1K,1.2K
tenderlybaemusic,14.4M,3.6M,409.5K,4.6K,1.5K
ig_alongwiranda,880.7K,3.2M,129.4K,1.2K,20K
crisdevilgamer7,4.5M,3.5M,388.1K,5.2K,1.2K
meishmoe,3.9M,2.5M,534.5K,2.4K,4.1K
maylathanzin,1.9M,3.5M,417.6K,1.2K,4.7K
zuuzina,1.2M,2.7M,342.4K,4.2K,5.1K
jennifergarner,2.1M,3.4M,315K,5.6K,2.4K
seventeen17_official,3.9M,1.5M,375.9K,11.1K,4.1K
meosimmyyt,3.9M,2.7M,367.1K,7.1K,1.5K
mariabecerra_22,6.1M,3.2M,553.9K,3.6K,1.2K
frostech,321K,3.4M,411K,1.5K,4.6K
p0_2,1.7M,4.9M,233.7K,6K,1.5K
joelbergs,11.2M,3.4M,636.3K,1.7K,2.2K
euro2024,6.8M,2.5M,407.3K,2.9K,5.4K
daz_black,7M,2.3M,506.4K,4.3K,2.9K
claragnds,16M,2.8M,401.5K,5.2K,2.1K
desartdestro,7.8M,5.4M,368.3K,2K,2.1K
camilacabello,15.3M,5.2M,321.8K,2.8K,2K
berkcoskunofficial,3.5M,5.6M,194.2K,2.9K,4.5K
ser.geybin,1.7M,3.8M,383.5K,2.2K,3.3K
anthpo,688.3K,1.7M,414.2K,4.7K,6.9K
erikarichardo,7.9M,4.6M,578.7K,2.5K,472
thegnshow,1.2M,4.9M,491K,807,2.5K
cx_.q,2.1M,3.9M,234.7K,3.1K,5.4K
owen.han,1.5M,4.8M,376.2K,1.2K,3.1K
keniaos,13.7M,2.2M,371.2K,7.5K,2K
angryreactions,25.8M,2.8M,406.2K,6.2K,680
saraecheagaray,7M,3.6M,700.7K,2K,1K
ana_eusse,10.5M,4.4M,665.5K,2.1K,560
ani__mel,798.6K,1.9M,359.7K,2.7K,8.5K
julianjacob,1.2M,3.8M,496.5K,2.4K,1.6K
averywit,1M,5.4M,724.1K,1.6K,293
buithanhtuyen2003,1.8M,1.6M,228.8K,18.5K,1.9K
emilythetrimmer,492.6K,5.8M,267.9K,1.7K,3.1K
fabru_blacutt,17M,5.3M,544.8K,1.9K,642
yoangelolo,1.2M,2.4M,224.3K,12.2K,1.5K
virginiafonseca,30.6M,4.4M,566.4K,2.3K,679
haritsuuu,1.3M,4.1M,158.1K,4.9K,6.4K
thekapelariz,1.1M,2.8M,464.2K,3.5K,2.1K
camavinga,1M,3.3M,522.3K,2.5K,1.6K
feezius,2.1M,4M,525.8K,2.8K,654
lights.are.off,18.7M,2.9M,292.7K,6.3K,2.1K
benjaminmaissecret,174.4K,7M,39.2K,24K,1.7K
calebrownn,5M,2.7M,459.5K,1.5K,4.2K
realuser_1,1.6M,4.1M,411.5K,2.5K,1.7K
anas_elshayib,3.6M,4.6M,194K,6.1K,1.8K
caleb.finn,3.5M,691.5K,2.5K,428,
hi_arvans,201.4K,1.3M,320.3K,1.2K,15.5K
theestallion,10.9M,1.9M,499.7K,4.4K,2.9K
rubentuestaok,12.3M,4.5M,418.3K,1.1K,2.6K
kingbach,26.3M,3.1M,582.2K,1.8K,2K
rdcworld1,2.8M,1.8M,336K,2.3K,9.1K
anna..paull,3M,2.8M,655.6K,2.9K,838
drewafualo,6.8M,2.2M,446.5K,5.1K,2.1K
scottkress_,2.9M,1.5M,402.7K,7.4K,4.1K
dixiedamelio,57.2M,4.4M,275.2K,4.6K,1.1K
nianaguerrero,30.5M,3.2M,493K,2.7K,1.7K
benoftheweek,10.6M,3.5M,512.8K,3.1K,722
maiaknight,8.1M,3.5M,628.8K,2.5K,647
theovon,1.4M,2.4M,230.6K,2.7K,9.8K
